# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0135   0.0168   0.0418   Lower   A v -> Y v    FE_PHC200_DFT_sdi_1
0.0058   0.0168   0.1550   Lower   A v -> Y v    FE_PHC199_mem_rdata_14
0.0065   0.0168   0.1678   Lower   A v -> Y v    FE_PHC198_mem_rdata_12
0.0068   0.0168   0.1504   Lower   A v -> Y v    FE_PHC197_mem_rdata_25
0.0076   0.0168   0.1625   Lower   A v -> Y v    FE_PHC196_mem_rdata_26
0.0063   0.0168   0.0407   Lower   A v -> Y v    FE_PHC195_mem_rdata_9
0.0079   0.0168   0.0441   Lower   A v -> Y v    FE_PHC194_mem_rdata_29
0.0086   0.0168   0.0418   Lower   A v -> Y v    FE_PHC193_mem_rdata_30
0.0089   0.0168   0.4929   Lower   A v -> Y v    FE_OFC2_shift_en
0.0036   0.0168   0.5211   Lower   A v -> Y v    FE_OFC1_shift_en
0.0037   0.0600   0.1223   Lower   A v -> Y v    CTS_ccl_a_buf_00051
0.0080   0.0168   0.0517   Lower   A v -> Y ^    g76009
0.0061   0.0168   0.0512   Lower   B v -> Y ^    g133916
0.0064   0.0168   0.0570   Lower   A v -> Y ^    g133916
0.0067   0.0168   0.0321   Lower   A v -> Y ^    g134102
0.0104   0.0168   0.0276   Lower   A v -> Y ^    g134108
0.6149   0.6120   0.8066   Upper   A v -> Y v    FE_OFC65_FE_DBTN9_resetn
0.6149   0.6120   0.2376   Upper   A v -> Y v    FE_OFC64_FE_DBTN9_resetn
0.6803   0.6120   0.5601   Upper   A v -> Y ^    FE_OFC30_shift_en
0.6803   0.6120   0.6345   Upper   A v -> Y ^    FE_OFC29_shift_en
0.6803   0.6120   0.5736   Upper   A v -> Y ^    FE_OFC28_shift_en
0.6803   0.6120   0.6635   Upper   A v -> Y ^    FE_OFC27_shift_en
0.6802   0.6120   0.5591   Upper   A v -> Y ^    FE_OFC26_shift_en
0.6803   0.6120   0.6135   Upper   A v -> Y ^    FE_OFC25_shift_en
0.6803   0.6120   0.5667   Upper   A v -> Y ^    FE_OFC24_shift_en
0.6802   0.6120   0.5554   Upper   A v -> Y ^    FE_OFC23_shift_en
0.6803   0.6120   0.6526   Upper   A v -> Y ^    FE_OFC22_shift_en
0.6801   0.6120   0.5985   Upper   A v -> Y ^    FE_OFC21_shift_en
0.6802   0.6120   0.5463   Upper   A v -> Y ^    FE_OFC20_shift_en
0.6802   0.6120   0.6106   Upper   A v -> Y ^    FE_OFC19_shift_en
0.6799   0.6120   0.5551   Upper   A v -> Y ^    FE_OFC18_shift_en
0.8067   0.6120   0.3397   Upper   A v -> Y ^    g134092
0.8067   0.6120   0.2125   Upper   A v -> Y ^    g134013
0.7940   0.6120   0.2102   Upper   A v -> Y ^    g134145
0.6796   0.6120   0.2897   Upper   A ^ -> Y v    add_1942_26_g2724
